,distribution,N.d,support.d,sd.d,se.d,ci.d,poor.d,rich.d,distribution.r,party.r,N.r,support.r,sd.r,se.r,ci.r,poor,rich,dminr_dif
119,X05p.u_50r.d_b,45,0.488888889,0.50552503,0.075359222,0.151876533,5,-50,X05p.u_50r.d_b,Rep,56,0.392857143,0.49280538,0.065853889,0.131974143,5,-50,0.096031746
121,X05p.u_50r.u_b,43,0.302325581,0.464700811,0.070866209,0.1430138,5,50,X05p.u_50r.u_b,Rep,53,0.509433962,0.504694939,0.069325181,0.139111154,5,50,-0.207108381
123,X05p.u_r.nc_b,48,0.9375,0.244623027,0.035308293,0.071031123,5,0,X05p.u_r.nc_b,Rep,46,0.956521739,0.206184571,0.030400256,0.06122926,5,0,-0.019021739
125,X10p.d_05r.d_b,42,0.047619048,0.215540269,0.033258586,0.067167076,-10,-5,X10p.d_05r.d_b,Rep,54,0.092592593,0.29258242,0.039815424,0.079859628,-10,-5,-0.044973545
127,X10p.d_05r.u_b,60,0.166666667,0.375823014,0.048518542,0.097085379,-10,5,X10p.d_05r.u_b,Rep,41,0.195121951,0.401217659,0.062659671,0.126639919,-10,5,-0.028455285
129,X10p.d_10r.d_b,51,0.098039216,0.30032662,0.042054138,0.084468223,-10,-10,X10p.d_10r.d_b,Rep,56,0.160714286,0.370590964,0.049522301,0.099244908,-10,-10,-0.06267507
131,X10p.d_10r.u_b,42,0.071428571,0.26066118,0.040220893,0.081227742,-10,10,X10p.d_10r.u_b,Rep,58,0.206896552,0.408618584,0.053654249,0.10744078,-10,10,-0.13546798
133,X10p.d_15r.d_b,49,0.12244898,0.331200661,0.04731438,0.095131937,-10,-15,X10p.d_15r.d_b,Rep,49,0.244897959,0.434483038,0.062069005,0.1247981,-10,-15,-0.12244898
135,X10p.d_15r.u_b,48,0.104166667,0.308709278,0.044558346,0.08963983,-10,15,X10p.d_15r.u_b,Rep,54,0.222222222,0.419643455,0.057106241,0.114540614,-10,15,-0.118055556
137,X10p.d_20r.d_b,42,0.142857143,0.354168802,0.054649433,0.110366768,-10,-20,X10p.d_20r.d_b,Rep,55,0.109090909,0.314626602,0.042424242,0.085055485,-10,-20,0.033766234
139,X10p.d_20r.u_b,53,0.132075472,0.341812806,0.0469516,0.094215278,-10,20,X10p.d_20r.u_b,Rep,46,0.130434783,0.340502612,0.050204371,0.101116794,-10,20,0.001640689
141,X10p.d_25r.d_b,44,0.113636364,0.321038221,0.048398333,0.09760454,-10,-25,X10p.d_25r.d_b,Rep,57,0.140350877,0.350438322,0.04641669,0.092983803,-10,-25,-0.026714514
143,X10p.d_25r.u_b,54,0.111111111,0.317220634,0.043168261,0.086584566,-10,25,X10p.d_25r.u_b,Rep,48,0.25,0.437594974,0.063161394,0.127064335,-10,25,-0.138888889
145,X10p.d_30r.d_b,47,0.085106383,0.282056673,0.041142194,0.082814942,-10,-30,X10p.d_30r.d_b,Rep,49,0.163265306,0.373437789,0.053348256,0.107263857,-10,-30,-0.078158923
147,X10p.d_30r.u_b,42,0.119047619,0.327770068,0.050576019,0.102140343,-10,30,X10p.d_30r.u_b,Rep,55,0.254545455,0.439620283,0.059278387,0.11884601,-10,30,-0.135497835
149,X10p.d_35r.d_b,54,0.148148148,0.358582503,0.048796898,0.097874183,-10,-35,X10p.d_35r.d_b,Rep,49,0.163265306,0.373437789,0.053348256,0.107263857,-10,-35,-0.015117158
151,X10p.d_35r.u_b,47,0.042553191,0.204029709,0.029760792,0.059905367,-10,35,X10p.d_35r.u_b,Rep,55,0.327272727,0.473542421,0.063852447,0.128016448,-10,35,-0.284719536
153,X10p.d_40r.d_b,55,0.127272727,0.336349986,0.045353423,0.090928138,-10,-40,X10p.d_40r.d_b,Rep,46,0.065217391,0.249637418,0.036807029,0.074133162,-10,-40,0.062055336
155,X10p.d_40r.u_b,49,0.12244898,0.331200661,0.04731438,0.095131937,-10,40,X10p.d_40r.u_b,Rep,48,0.166666667,0.376621789,0.054360673,0.109359568,-10,40,-0.044217687
157,X10p.d_45r.d_b,44,0.159090909,0.369989429,0.055778005,0.112487068,-10,-45,X10p.d_45r.d_b,Rep,55,0.145454545,0.355807991,0.04797714,0.096188374,-10,-45,0.013636364
159,X10p.d_45r.u_b,45,0.155555556,0.3665289,0.054638902,0.110117472,-10,45,X10p.d_45r.u_b,Rep,52,0.230769231,0.42543563,0.058997307,0.118442036,-10,45,-0.075213675
161,X10p.d_50r.d_b,48,0.1875,0.39444278,0.056932911,0.114534244,-10,-50,X10p.d_50r.d_b,Rep,50,0.3,0.46291005,0.065465367,0.131557581,-10,-50,-0.1125
163,X10p.d_50r.u_b,54,0.148148148,0.358582503,0.048796898,0.097874183,-10,50,X10p.d_50r.u_b,Rep,44,0.090909091,0.290803363,0.043840257,0.088412303,-10,50,0.057239057
165,X10p.d_r.nc_b,52,0.038461538,0.194183909,0.026928463,0.054061146,-10,0,X10p.d_r.nc_b,Rep,44,0.204545455,0.408032457,0.061513207,0.124053206,-10,0,-0.166083916
167,X10p.u_05r.d_b,52,0.961538462,0.194183909,0.026928463,0.054061146,10,-5,X10p.u_05r.d_b,Rep,48,0.729166667,0.44909286,0.064820971,0.130402973,10,-5,0.232371795
