,distribution,N.d,support.d,sd.d,se.d,ci.d,poor.d,rich.d,distribution.r,party.r,N.r,support.r,sd.r,se.r,ci.r,poor,rich,dminr_dif
825,X50p.d_40r.d_b,52,0.038461538,0.194183909,0.026928463,0.054061146,-50,-40,X50p.d_40r.d_b,Rep,42,0.142857143,0.354168802,0.054649433,0.110366768,-50,-40,-0.104395604
827,X50p.d_40r.u_b,52,0.096153846,0.297678296,0.041280552,0.082874167,-50,40,X50p.d_40r.u_b,Rep,42,0.166666667,0.37719547,0.058202525,0.117542383,-50,40,-0.070512821
829,X50p.d_45r.d_b,54,0.166666667,0.376177397,0.05119126,0.102676664,-50,-45,X50p.d_45r.d_b,Rep,47,0.085106383,0.282056673,0.041142194,0.082814942,-50,-45,0.081560284
831,X50p.d_45r.u_b,45,0.088888889,0.287799032,0.042902547,0.086464401,-50,45,X50p.d_45r.u_b,Rep,53,0.094339623,0.295097829,0.040534804,0.081339035,-50,45,-0.005450734
833,X50p.d_50r.d_b,41,0.12195122,0.331294578,0.051739521,0.104569472,-50,-50,X50p.d_50r.d_b,Rep,58,0.206896552,0.408618584,0.053654249,0.10744078,-50,-50,-0.084945332
835,X50p.d_50r.u_b,55,0.127272727,0.336349986,0.045353423,0.090928138,-50,50,X50p.d_50r.u_b,Rep,48,0.145833333,0.356673958,0.051481451,0.103567321,-50,50,-0.018560606
837,X50p.d_r.nc_b,50,0.06,0.239897937,0.033926692,0.068178239,-50,0,X50p.d_r.nc_b,Rep,47,0.14893617,0.35987458,0.052493103,0.105663135,-50,0,-0.08893617
839,X50p.u_05r.d_b,51,0.901960784,0.30032662,0.042054138,0.084468223,50,-5,X50p.u_05r.d_b,Rep,52,0.826923077,0.382004714,0.052974523,0.106350792,50,-5,0.075037707
841,X50p.u_05r.u_b,53,0.943396226,0.233295318,0.032045576,0.064304154,50,5,X50p.u_05r.u_b,Rep,46,0.826086957,0.383223047,0.056503156,0.113803197,50,5,0.11730927
843,X50p.u_10r.d_b,48,0.958333333,0.201940937,0.029147664,0.058637536,50,-10,X50p.u_10r.d_b,Rep,51,0.843137255,0.367290023,0.05143089,0.103301984,50,-10,0.115196078
845,X50p.u_10r.u_b,48,0.9375,0.244623027,0.035308293,0.071031123,50,10,X50p.u_10r.u_b,Rep,51,0.862745098,0.347540377,0.048665387,0.097747306,50,10,0.074754902
847,X50p.u_15r.d_b,51,0.843137255,0.367290023,0.05143089,0.103301984,50,-15,X50p.u_15r.d_b,Rep,51,0.68627451,0.468623349,0.065620394,0.131802441,50,-15,0.156862745
849,X50p.u_15r.u_b,52,0.923076923,0.269069118,0.037313173,0.074909321,50,15,X50p.u_15r.u_b,Rep,51,0.823529412,0.385013369,0.053912655,0.108286755,50,15,0.099547511
851,X50p.u_20r.d_b,44,0.954545455,0.210707055,0.031765284,0.0640608,50,-20,X50p.u_20r.d_b,Rep,48,0.645833333,0.483321105,0.069761393,0.14034182,50,-20,0.308712121
853,X50p.u_20r.u_b,45,0.866666667,0.343775825,0.051247074,0.103281692,50,20,X50p.u_20r.u_b,Rep,51,0.941176471,0.23763541,0.033275613,0.066836036,50,20,-0.074509804
855,X50p.u_25r.d_b,43,0.837209302,0.373543684,0.056964878,0.114959777,50,-25,X50p.u_25r.d_b,Rep,54,0.481481481,0.504348664,0.06863316,0.137660686,50,-25,0.355727821
857,X50p.u_25r.u_b,55,0.909090909,0.290129427,0.039121044,0.078432971,50,25,X50p.u_25r.u_b,Rep,43,0.88372093,0.324353006,0.04946337,0.099821121,50,25,0.025369979
859,X50p.u_30r.d_b,56,0.910714286,0.287736351,0.038450387,0.077056298,50,-30,X50p.u_30r.d_b,Rep,41,0.56097561,0.502433104,0.078466868,0.158587456,50,-30,0.349738676
861,X50p.u_30r.u_b,45,0.844444444,0.3665289,0.054638902,0.110117472,50,30,X50p.u_30r.u_b,Rep,60,0.85,0.360084736,0.046486739,0.093019751,50,30,-0.005555556
863,X50p.u_35r.d_b,53,0.79245283,0.409431621,0.056239758,0.112853332,50,-35,X50p.u_35r.d_b,Rep,49,0.510204082,0.505076272,0.072153753,0.145074844,50,-35,0.282248749
865,X50p.u_35r.u_b,52,0.903846154,0.297678296,0.041280552,0.082874167,50,35,X50p.u_35r.u_b,Rep,47,0.872340426,0.337318149,0.049202909,0.099040319,50,35,0.031505728
867,X50p.u_40r.d_b,46,0.804347826,0.401085484,0.059136828,0.119107686,50,-40,X50p.u_40r.d_b,Rep,54,0.5,0.504694939,0.068680282,0.137755201,50,-40,0.304347826
869,X50p.u_40r.u_b,47,0.872340426,0.337318149,0.049202909,0.099040319,50,40,X50p.u_40r.u_b,Rep,53,0.905660377,0.295097829,0.040534804,0.081339035,50,40,-0.033319952
871,X50p.u_45r.d_b,63,0.825396825,0.38267659,0.048212719,0.096375851,50,-45,X50p.u_45r.d_b,Rep,39,0.461538462,0.505035374,0.080870382,0.163713529,50,-45,0.363858364
873,X50p.u_45r.u_b,51,0.862745098,0.347540377,0.048665387,0.097747306,50,45,X50p.u_45r.u_b,Rep,49,0.836734694,0.373437789,0.053348256,0.107263857,50,45,0.026010404
875,X50p.u_50r.d_b,54,0.722222222,0.452108964,0.061524237,0.123401993,50,-50,X50p.u_50r.d_b,Rep,45,0.355555556,0.484090316,0.072163924,0.145436832,50,-50,0.366666667
877,X50p.u_50r.u_b,46,0.717391304,0.455243206,0.067121949,0.135190545,50,50,X50p.u_50r.u_b,Rep,54,0.814814815,0.392095198,0.053357398,0.107021388,50,50,-0.09742351
879,X50p.u_r.nc_b,49,0.93877551,0.242226071,0.034603724,0.069575451,50,0,X50p.u_r.nc_b,Rep,51,0.862745098,0.347540377,0.048665387,0.097747306,50,0,0.076030412
